"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions_saved","Success_rate","Retention_frequency_saved","Primary_state_match_proportion_saved","Same_sign_when_retained","Median_edge_weight_saved","Lower_edge_weight_saved","Upper_edge_weight_saved","Successful_repetitions_recomputed","Retention_frequency_recomputed","Primary_state_match_proportion_recomputed","Median_edge_weight_recomputed","Lower_edge_weight_recomputed","Upper_edge_weight_recomputed","Difference_successful_repetitions","Difference_retention_frequency","Difference_primary_state_match","Difference_median_edge","Difference_lower_edge","Difference_upper_edge","Maximum_row_difference"
"A2",2016,"VCF0809--VCF0839","VCF0809","VCF0839",0.216271398419299,1000,1,1,1,1,0.213897244163568,0.127338869993037,0.289595339488633,1000,1,1,0.213897244163568,0.127338869993037,0.289595339488633,0,0,0,4.71844785465692e-16,-2.4980018054066e-16,4.44089209850063e-16,4.71844785465692e-16
"A2",2016,"VCF0838--VCF0839","VCF0838","VCF0839",0.0636726525169274,1000,1,0.897,0.897,1,0.0534678671866754,0,0.126746323857775,1000,0.897,0.897,0.0534678671866754,0,0.126746323857775,0,0,0,-6.93889390390723e-18,0,-4.71844785465692e-16,4.71844785465692e-16
"A2",2024,"VCF0806--VCF0888","VCF0806","VCF0888",-0.115991969116665,1000,1,0.992,0.992,1,-0.10867526634191,-0.190122044846492,-0.0178938526296641,1000,0.992,0.992,-0.10867526634191,-0.190122044846492,-0.0178938526296641,0,0,0,-3.19189119579733e-16,-4.71844785465692e-16,-1.73472347597681e-17,4.71844785465692e-16
"A3",2012,"VCF0839--VCF0890","VCF0839","VCF0890",0.263346205380432,1000,1,1,1,1,0.257429957354308,0.170100654958726,0.336558001542668,1000,1,1,0.257429957354308,0.170100654958726,0.336558001542668,0,0,0,2.22044604925031e-16,-4.71844785465692e-16,2.77555756156289e-16,4.71844785465692e-16
"A3",2012,"VCF0806--VCF0894","VCF0806","VCF0894",0.14949343454668,1000,1,0.96,0.96,1,0.14953267977864,0,0.23412489749339,1000,0.96,0.96,0.14953267977864,0,0.23412489749339,0,0,0,4.71844785465692e-16,0,1.38777878078145e-16,4.71844785465692e-16
"A3",2016,"VCF0809--VCF0838","VCF0809","VCF0838",-0.0734135665583111,1000,1,0.248,0.248,1,0,-0.145931778784849,0,1000,0.248,0.248,0,-0.145931778784849,0,0,0,0,0,-4.71844785465692e-16,0,4.71844785465692e-16
"A3",2020,"VCF0838--VCF0888","VCF0838","VCF0888",-0.184835629335573,1000,1,0.986,0.986,1,-0.181186797579268,-0.269824249100339,-0.0974385467505056,1000,0.986,0.986,-0.181186797579268,-0.269824249100339,-0.0974385467505056,0,0,0,4.71844785465692e-16,4.44089209850063e-16,-4.16333634234434e-17,4.71844785465692e-16
"A3",2020,"VCF0838--VCF0894","VCF0838","VCF0894",0.0578781092811031,1000,1,0.414,0.414,1,0,0,0.147602357757566,1000,0.414,0.414,0,0,0.147602357757566,0,0,0,0,0,-4.71844785465692e-16,4.71844785465692e-16
"A3",2020,"VCF0806--VCF9223","VCF0806","VCF9223",0.0242233695850124,1000,1,0.163,0.162,0.993865030674847,0,0,0.103225578098279,1000,0.163,0.162,0,0,0.103225578098279,0,0,0,0,0,4.71844785465692e-16,4.71844785465692e-16
"A2",2012,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0493033840706338,1000,1,0.8,0.8,1,0.0336097073280211,0,0.10146296778848,1000,0.8,0.8,0.0336097073280211,0,0.10146296778848,0,0,0,-4.85722573273506e-17,0,-4.57966997657877e-16,4.57966997657877e-16
"A2",2012,"VCF0879a--VCF0890","VCF0879a","VCF0890",-0.0328432083530345,1000,1,0.303,0.257,0.848184818481848,0,-0.101451468651574,0.0189806224300637,1000,0.303,0.257,0,-0.101451468651574,0.0189806224300637,0,0,0,0,4.57966997657877e-16,1.04083408558608e-17,4.57966997657877e-16
"A3",2012,"VCF0838--VCF9223","VCF0838","VCF9223",0.11975354377938,1000,1,0.656,0.656,1,0.11686763770807,0,0.195811639707988,1000,0.656,0.656,0.11686763770807,0,0.195811639707988,0,0,0,4.57966997657877e-16,0,-4.16333634234434e-16,4.57966997657877e-16
"A3",2016,"VCF0806--VCF0838","VCF0806","VCF0838",0.181921384698232,1000,1,0.999,0.999,1,0.184124392912235,0.108532283446396,0.252287914484446,1000,0.999,0.999,0.184124392912235,0.108532283446396,0.252287914484446,0,0,0,1.94289029309402e-16,-4.57966997657877e-16,-2.22044604925031e-16,4.57966997657877e-16
"A3",2024,"VCF0806--VCF9223","VCF0806","VCF9223",0.103479021160507,1000,1,0.819,0.819,1,0.105110521175207,0,0.180192304012033,1000,0.819,0.819,0.105110521175207,0,0.180192304012033,0,0,0,4.57966997657877e-16,0,3.05311331771918e-16,4.57966997657877e-16
"A2",2004,"VCF0809--VCF0894","VCF0809","VCF0894",0.253193469933843,1000,1,1,1,1,0.253193469933843,0.253193469933843,0.253193469933843,1000,1,1,0.253193469933843,0.253193469933843,0.253193469933843,0,0,0,-4.44089209850063e-16,-4.44089209850063e-16,-4.44089209850063e-16,4.44089209850063e-16
"A2",2004,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.449956286828701,1000,1,1,1,1,0.449956286828701,0.449956286828701,0.449956286828701,1000,1,1,0.449956286828701,0.449956286828701,0.449956286828701,0,0,0,-4.44089209850063e-16,-4.44089209850063e-16,-4.44089209850063e-16,4.44089209850063e-16
"A2",2012,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.14055343388669,1000,1,0.997,0.997,1,0.117480010601983,0.0428042610967175,0.196988351435629,1000,0.997,0.997,0.117480010601983,0.0428042610967175,0.196988351435629,0,0,0,-5.55111512312578e-17,-4.16333634234434e-17,-4.44089209850063e-16,4.44089209850063e-16
