"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Sensitivity_edge_weight","Primary_retained","Sensitivity_retained","Primary_sign","Sensitivity_sign","State_matches_primary","Absolute_edge_difference"
"A1",2016,"VCF0839--VCF0888","VCF0839","VCF0888",0.0370470506219009,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0370470506219009
"A1",2016,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.090754153248673,-0.0913335674554384,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.000579414206765314
"A1",2016,"VCF0806--VCF0890","VCF0806","VCF0890",0.0590306809790036,0.0591751580486459,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000144477069642261
"A1",2016,"VCF0809--VCF0890","VCF0809","VCF0890",0.052471021635499,0.0537264604316555,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00125543879615653
"A1",2016,"VCF0838--VCF0890","VCF0838","VCF0890",0.108612599323994,0.110488247829616,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00187564850562269
"A1",2016,"VCF0839--VCF0890","VCF0839","VCF0890",0.242347657779176,0.240832109928682,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00151554785049329
"A1",2016,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0141694491107246,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0141694491107246
"A1",2016,"VCF0888--VCF0890","VCF0888","VCF0890",0.215890208797959,0.220625684050904,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00473547525294535
"A1",2016,"VCF0806--VCF0894","VCF0806","VCF0894",0.114332152702858,0.112305396852418,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00202675585043965
"A1",2016,"VCF0809--VCF0894","VCF0809","VCF0894",0.173766642629694,0.175329239085233,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.0015625964555393
"A1",2016,"VCF0838--VCF0894","VCF0838","VCF0894",0.0364902033127705,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0364902033127705
"A1",2016,"VCF0839--VCF0894","VCF0839","VCF0894",0.329872988221807,0.330834980169075,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000961991947268204
"A1",2016,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.227269099451679,0.22756521654591,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000296117094230886
"A1",2016,"VCF0888--VCF0894","VCF0888","VCF0894",-0.0630943703683428,-0.0677216769016114,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00462730653326862
"A1",2016,"VCF0890--VCF0894","VCF0890","VCF0894",0.122481274464188,0.123200409704574,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000719135240386762
"A1",2016,"VCF0806--VCF9223","VCF0806","VCF9223",0.0186252735363306,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0186252735363306
"A1",2016,"VCF0809--VCF9223","VCF0809","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2016,"VCF0838--VCF9223","VCF0838","VCF9223",0.143965510367613,0.143758189045531,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000207321322082121
"A1",2016,"VCF0839--VCF9223","VCF0839","VCF9223",0.018458574204645,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.018458574204645
"A1",2016,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.440934290526284,0.442397677148088,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00146338662180417
"A1",2016,"VCF0888--VCF9223","VCF0888","VCF9223",-0.113633115156834,-0.115230842960748,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00159772780391391
"A1",2016,"VCF0890--VCF9223","VCF0890","VCF9223",0.0887466384157413,0.0902984857378438,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00155184732210249
"A1",2016,"VCF0894--VCF9223","VCF0894","VCF9223",0.0127258634156021,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0127258634156021
"A1",2020,"VCF0806--VCF0809","VCF0806","VCF0809",0.339019965826395,0.339046753743592,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,2.67879171977903e-05
"A1",2020,"VCF0806--VCF0838","VCF0806","VCF0838",0.194720924461167,0.194616270759117,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000104653702050039
"A1",2020,"VCF0809--VCF0838","VCF0809","VCF0838",0.0284272171043005,0.0280817495033189,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000345467600981562
"A1",2020,"VCF0806--VCF0839","VCF0806","VCF0839",0.218609064876532,0.21912323540453,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000514170527997682
"A1",2020,"VCF0809--VCF0839","VCF0809","VCF0839",0.266004849180601,0.266271868509972,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000267019329371398
"A1",2020,"VCF0838--VCF0839","VCF0838","VCF0839",0.0258476371914002,0.0263319449099551,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000484307718554913
"A1",2020,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0493009287160725,0.0496594799967659,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000358551280693439
"A1",2020,"VCF0809--VCF0879a","VCF0809","VCF0879a",0.0313461409353886,0.0316997525391509,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000353611603762301
"A1",2020,"VCF0838--VCF0879a","VCF0838","VCF0879a",0.00382478480854227,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.00382478480854227
"A1",2020,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2020,"VCF0806--VCF0888","VCF0806","VCF0888",-0.142066445791472,-0.142678155057131,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.000611709265659066
"A1",2020,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0260092667248852,-0.0266688023575746,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.000659535632689418
"A1",2020,"VCF0838--VCF0888","VCF0838","VCF0888",-0.184835629335573,-0.185357699952349,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.000522070616775172
"A1",2020,"VCF0839--VCF0888","VCF0839","VCF0888",0.0159747561285973,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0159747561285973
"A1",2020,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.169847882148041,-0.169993089596691,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00014520744865093
"A1",2020,"VCF0806--VCF0890","VCF0806","VCF0890",0.0572874494519452,0.0574046040325767,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000117154580631468
"A1",2020,"VCF0809--VCF0890","VCF0809","VCF0890",0.0975118954026813,0.0975319011215905,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,2.00057189091302e-05
"A1",2020,"VCF0838--VCF0890","VCF0838","VCF0890",0.139154682441411,0.139545081908854,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000390399467443292
"A1",2020,"VCF0839--VCF0890","VCF0839","VCF0890",0.234815190156645,0.234797677622395,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,1.75125342500859e-05
"A1",2020,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0240302065982658,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0240302065982658
"A1",2020,"VCF0888--VCF0890","VCF0888","VCF0890",0.152332665756861,0.154062943322617,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00173027756575628
"A1",2020,"VCF0806--VCF0894","VCF0806","VCF0894",0.0796373739812811,0.0791292261508646,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000508147830416542
"A1",2020,"VCF0809--VCF0894","VCF0809","VCF0894",0.167624716218426,0.167336880238957,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000287835979468493
"A1",2020,"VCF0838--VCF0894","VCF0838","VCF0894",0.0578781092811031,0.0575478933358835,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000330215945219613
"A1",2020,"VCF0839--VCF0894","VCF0839","VCF0894",0.244511389929148,0.2453788187141,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000867428784951829
"A1",2020,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.220780809671857,0.221217125458876,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000436315787018166
"A1",2020,"VCF0888--VCF0894","VCF0888","VCF0894",-0.068233730564378,-0.0690183744368102,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.000784643872432225
"A1",2020,"VCF0890--VCF0894","VCF0890","VCF0894",0.155260312714881,0.155270228704429,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,9.91598954780404e-06
"A1",2020,"VCF0806--VCF9223","VCF0806","VCF9223",0.0242233695850124,0.0240072340929643,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000216135492048086
"A1",2020,"VCF0809--VCF9223","VCF0809","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2020,"VCF0838--VCF9223","VCF0838","VCF9223",0.142161290526218,0.142163043242687,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,1.75271646934982e-06
"A1",2020,"VCF0839--VCF9223","VCF0839","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2020,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.436152559373321,0.436446389000183,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000293829626862696
"A1",2020,"VCF0888--VCF9223","VCF0888","VCF9223",-0.11192935869046,-0.112171764769587,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.000242406079126595
"A1",2020,"VCF0890--VCF9223","VCF0890","VCF9223",0.101132031781839,0.101395415357922,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000263383576082743
"A1",2020,"VCF0894--VCF9223","VCF0894","VCF9223",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2024,"VCF0806--VCF0809","VCF0806","VCF0809",0.286446415679923,0.288450766488838,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00200435080891448
"A1",2024,"VCF0806--VCF0838","VCF0806","VCF0838",0.0969823508352493,0.0956484380505751,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00133391278467421
"A1",2024,"VCF0809--VCF0838","VCF0809","VCF0838",0.081819208318309,0.0845907076905555,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00277149937224655
