"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions","Success_rate","Retention_frequency","Primary_state_match_proportion","Same_sign_when_retained","Median_edge_weight","Lower_edge_weight","Upper_edge_weight"
"A2",2016,"VCF0838--VCF0894","VCF0838","VCF0894",0.0364902033127705,1000,1,0.757,0.752,0.993394980184941,0.0287736199336298,0,0.114186554495214
"A2",2016,"VCF0839--VCF0894","VCF0839","VCF0894",0.329872988221807,1000,1,1,1,1,0.326008896983702,0.250166411185351,0.396840495016927
"A2",2016,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.227269099451679,1000,1,1,1,1,0.214685558729353,0.147273811365803,0.283494389639966
"A2",2016,"VCF0888--VCF0894","VCF0888","VCF0894",-0.0630943703683428,1000,1,0.794,0.791,0.996221662468514,-0.0501442202542727,-0.143111478410121,0
"A2",2016,"VCF0890--VCF0894","VCF0890","VCF0894",0.122481274464188,1000,1,0.991,0.991,1,0.115619597064611,0.0161478626878674,0.212864130922062
"A2",2016,"VCF0806--VCF9223","VCF0806","VCF9223",0.0186252735363306,1000,1,0.696,0.693,0.995689655172414,0.0192864995790924,0,0.0871613688911503
"A2",2016,"VCF0809--VCF9223","VCF0809","VCF9223",0,1000,1,0.224,0.776,,0,-0.0636229706184562,0.0242791741419605
"A2",2016,"VCF0838--VCF9223","VCF0838","VCF9223",0.143965510367613,1000,1,1,1,1,0.13937555380567,0.0641118332948084,0.201340731082381
"A2",2016,"VCF0839--VCF9223","VCF0839","VCF9223",0.018458574204645,1000,1,0.558,0.553,0.991039426523297,0.00615289250056385,0,0.0735321772882055
"A2",2016,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.440934290526284,1000,1,1,1,1,0.431126726238306,0.36708086726641,0.4941903272028
"A2",2016,"VCF0888--VCF9223","VCF0888","VCF9223",-0.113633115156834,1000,1,0.998,0.998,1,-0.107103012780294,-0.194070262850227,-0.0222246471513683
"A2",2016,"VCF0890--VCF9223","VCF0890","VCF9223",0.0887466384157413,1000,1,0.964,0.964,1,0.0740354776452539,0,0.153288906889536
"A2",2016,"VCF0894--VCF9223","VCF0894","VCF9223",0.0127258634156021,1000,1,0.684,0.678,0.991228070175439,0.0190816047133336,0,0.0855958034552873
"A2",2020,"VCF0806--VCF0809","VCF0806","VCF0809",0.339019965826395,1000,1,1,1,1,0.333474620446452,0.257900406603115,0.411340141874763
"A2",2020,"VCF0806--VCF0838","VCF0806","VCF0838",0.194720924461167,1000,1,1,1,1,0.191263793990876,0.109447643957316,0.270890858757106
"A2",2020,"VCF0809--VCF0838","VCF0809","VCF0838",0.0284272171043005,1000,1,0.718,0.707,0.984679665738162,0.025578705131721,0,0.111858027158295
"A2",2020,"VCF0806--VCF0839","VCF0806","VCF0839",0.218609064876532,1000,1,1,1,1,0.214071839725474,0.126498303809871,0.290538714073191
"A2",2020,"VCF0809--VCF0839","VCF0809","VCF0839",0.266004849180601,1000,1,1,1,1,0.263857924620237,0.178250227848835,0.345586002978445
"A2",2020,"VCF0838--VCF0839","VCF0838","VCF0839",0.0258476371914002,1000,1,0.692,0.685,0.989884393063584,0.0241731690114897,0,0.110822815809451
"A2",2020,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0493009287160725,1000,1,0.88,0.879,0.998863636363636,0.0474038204550846,0,0.125291569808416
"A2",2020,"VCF0809--VCF0879a","VCF0809","VCF0879a",0.0313461409353886,1000,1,0.747,0.742,0.99330655957162,0.0275277308527445,0,0.0993417393304821
"A2",2020,"VCF0838--VCF0879a","VCF0838","VCF0879a",0.00382478480854227,1000,1,0.573,0.522,0.910994764397906,0.00393876162086799,-0.0458006280653457,0.0934784208215617
"A2",2020,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,1000,1,0.29,0.71,,0,-0.0722296393457854,0.043013218474138
"A2",2020,"VCF0806--VCF0888","VCF0806","VCF0888",-0.142066445791472,1000,1,0.998,0.998,1,-0.133441116670873,-0.219160087112501,-0.0462013948607517
"A2",2020,"VCF0809--VCF0888","VCF0809","VCF0888",-0.0260092667248852,1000,1,0.621,0.603,0.971014492753623,-0.015231853681429,-0.109041270966804,0
"A2",2020,"VCF0838--VCF0888","VCF0838","VCF0888",-0.184835629335573,1000,1,1,1,1,-0.175733604480247,-0.263057505043206,-0.0913220277343088
"A2",2020,"VCF0839--VCF0888","VCF0839","VCF0888",0.0159747561285973,1000,1,0.361,0.255,0.706371191135734,0,-0.0360663671835725,0.08178334571377
"A2",2020,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.169847882148041,1000,1,1,1,1,-0.169157924175739,-0.24833379657241,-0.0791568585265914
"A2",2020,"VCF0806--VCF0890","VCF0806","VCF0890",0.0572874494519452,1000,1,0.89,0.885,0.99438202247191,0.0556286840750063,0,0.149575609807159
"A2",2020,"VCF0809--VCF0890","VCF0809","VCF0890",0.0975118954026813,1000,1,0.98,0.98,1,0.0970049277220509,0.00422409196146201,0.189751311517762
"A2",2020,"VCF0838--VCF0890","VCF0838","VCF0890",0.139154682441411,1000,1,0.989,0.989,1,0.130205367882559,0.0289871439763957,0.220175619082045
"A2",2020,"VCF0839--VCF0890","VCF0839","VCF0890",0.234815190156645,1000,1,1,1,1,0.230416634088038,0.135715038742766,0.320690634671541
"A2",2020,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0240302065982658,1000,1,0.648,0.614,0.947530864197531,0.0189806079917856,-0.0263789699928953,0.121712496103978
"A2",2020,"VCF0888--VCF0890","VCF0888","VCF0890",0.152332665756861,1000,1,0.971,0.971,1,0.123629053590207,0,0.236832683193075
"A2",2020,"VCF0806--VCF0894","VCF0806","VCF0894",0.0796373739812811,1000,1,0.963,0.963,1,0.0844038367059644,0,0.167560772692648
"A2",2020,"VCF0809--VCF0894","VCF0809","VCF0894",0.167624716218426,1000,1,1,1,1,0.166740116785831,0.0904309924592906,0.239955633870163
"A2",2020,"VCF0838--VCF0894","VCF0838","VCF0894",0.0578781092811031,1000,1,0.876,0.87,0.993150684931507,0.0558107455908277,0,0.141667533069459
"A2",2020,"VCF0839--VCF0894","VCF0839","VCF0894",0.244511389929148,1000,1,1,1,1,0.241471943794486,0.154908432421539,0.324905360692196
"A2",2020,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.220780809671857,1000,1,1,1,1,0.211910216876813,0.126553972980623,0.292722967557607
"A2",2020,"VCF0888--VCF0894","VCF0888","VCF0894",-0.068233730564378,1000,1,0.863,0.861,0.997682502896871,-0.057138148785438,-0.144413455414527,0
"A2",2020,"VCF0890--VCF0894","VCF0890","VCF0894",0.155260312714881,1000,1,0.998,0.998,1,0.150508386520901,0.0515792869074761,0.251446220439427
