year,pair_index,node1,node2,level1,level2,cell_n,pairwise_n,cell_proportion
2004,6,VCF0806,VCF0894,2,3,15,1097,0.0136736554238833
2004,6,VCF0806,VCF0894,3,3,24,1097,0.0218778486782133
2004,6,VCF0806,VCF0894,4,3,34,1097,0.0309936189608022
2004,6,VCF0806,VCF0894,5,3,41,1097,0.0373746581586144
2004,6,VCF0806,VCF0894,6,3,41,1097,0.0373746581586144
2004,6,VCF0806,VCF0894,7,3,83,1097,0.0756608933454877
2004,7,VCF0806,VCF0879a,1,1,43,963,0.0446521287642783
2004,7,VCF0806,VCF0879a,2,1,54,963,0.0560747663551402
2004,7,VCF0806,VCF0879a,3,1,64,963,0.0664589823468328
2004,7,VCF0806,VCF0879a,4,1,94,963,0.0976116303219107
2004,7,VCF0806,VCF0879a,5,1,55,963,0.0571131879543095
2004,7,VCF0806,VCF0879a,6,1,54,963,0.0560747663551402
2004,7,VCF0806,VCF0879a,7,1,84,963,0.0872274143302181
2004,7,VCF0806,VCF0879a,1,2,31,963,0.0321910695742471
2004,7,VCF0806,VCF0879a,2,2,51,963,0.0529595015576324
2004,7,VCF0806,VCF0879a,3,2,71,963,0.0737279335410177
2004,7,VCF0806,VCF0879a,4,2,77,963,0.0799584631360332
2004,7,VCF0806,VCF0879a,5,2,65,963,0.0674974039460021
2004,7,VCF0806,VCF0879a,6,2,51,963,0.0529595015576324
2004,7,VCF0806,VCF0879a,7,2,66,963,0.0685358255451713
2004,7,VCF0806,VCF0879a,1,3,7,963,0.00726895119418484
2004,7,VCF0806,VCF0879a,2,3,9,963,0.00934579439252336
2004,7,VCF0806,VCF0879a,3,3,6,963,0.00623052959501558
2004,7,VCF0806,VCF0879a,4,3,16,963,0.0166147455867082
2004,7,VCF0806,VCF0879a,5,3,15,963,0.0155763239875389
2004,7,VCF0806,VCF0879a,6,3,15,963,0.0155763239875389
2004,7,VCF0806,VCF0879a,7,3,35,963,0.0363447559709242
2004,8,VCF0806,VCF9223,1,1,18,973,0.0184994861253854
2004,8,VCF0806,VCF9223,2,1,16,973,0.0164439876670093
2004,8,VCF0806,VCF9223,3,1,21,973,0.0215827338129496
2004,8,VCF0806,VCF9223,4,1,35,973,0.0359712230215827
